iter	Passed	Remaining
0	12	12047
1	22	11287
2	33	10987
3	43	10815
4	54	10800
5	65	10787
6	75	10680
7	85	10641
8	96	10582
9	106	10543
10	116	10511
11	127	10492
12	138	10488
13	148	10476
14	160	10531
15	172	10616
16	184	10669
17	196	10710
18	207	10731
19	219	10770
20	231	10785
21	242	10780
22	254	10818
23	265	10813
24	276	10786
25	287	10759
26	298	10751
27	308	10724
28	319	10690
29	329	10665
30	340	10642
31	351	10644
32	363	10641
33	373	10622
34	384	10602
35	395	10579
36	405	10559
37	416	10535
38	426	10514
39	437	10502
40	448	10485
41	458	10464
42	469	10447
43	480	10430
44	490	10411
45	500	10386
46	511	10375
47	522	10355
48	532	10343
49	543	10329
50	554	10310
51	564	10290
52	574	10272
53	586	10265
54	597	10258
55	608	10252
56	619	10244
57	630	10233
58	641	10233
59	654	10251
60	666	10260
61	678	10258
62	690	10268
63	701	10257
64	711	10240
65	722	10226
66	734	10221
67	746	10233
68	757	10223
69	769	10221
70	781	10219
71	791	10201
72	802	10188
73	813	10177
74	824	10169
75	835	10163
76	846	10145
77	856	10128
78	867	10109
79	877	10093
80	888	10079
81	899	10067
82	910	10064
83	921	10053
84	933	10043
85	944	10036
86	955	10030
87	966	10015
88	977	10003
89	988	9996
90	999	9986
91	1011	9978
92	1021	9964
93	1034	9968
94	1045	9958
95	1056	9946
96	1066	9932
97	1078	9925
98	1089	9917
99	1100	9904
100	1110	9886
101	1121	9871
102	1132	9858
103	1142	9846
104	1154	9843
105	1166	9837
106	1177	9825
107	1187	9810
108	1198	9797
109	1209	9786
110	1221	9783
111	1232	9773
112	1243	9758
113	1253	9744
114	1264	9729
115	1276	9725
116	1287	9715
117	1298	9704
118	1310	9698
119	1321	9688
120	1332	9682
121	1343	9669
122	1354	9654
123	1364	9641
124	1376	9632
125	1387	9624
126	1398	9616
127	1409	9602
128	1420	9591
129	1432	9584
130	1444	9580
131	1455	9569
132	1466	9561
133	1478	9553
134	1489	9541
135	1499	9527
136	1510	9514
137	1522	9507
138	1537	9523
139	1551	9530
140	1564	9530
141	1575	9521
142	1586	9509
143	1598	9499
144	1609	9491
145	1621	9485
146	1633	9479
147	1645	9472
148	1656	9459
149	1667	9447
150	1677	9433
151	1688	9420
152	1699	9410
153	1711	9403
154	1722	9391
155	1749	9467
156	1772	9517
157	1782	9500
158	1793	9485
159	1803	9469
160	1815	9460
161	1826	9450
162	1838	9438
163	1849	9425
164	1859	9411
165	1871	9402
166	1882	9391
167	1893	9379
168	1905	9370
169	1916	9358
170	1927	9343
171	1938	9331
172	1950	9321
173	1961	9311
174	1972	9298
175	1983	9287
176	1994	9275
177	2006	9265
178	2017	9255
179	2029	9246
180	2040	9234
181	2053	9228
182	2065	9221
183	2078	9218
184	2092	9219
185	2106	9216
186	2117	9205
187	2128	9191
188	2139	9180
189	2150	9167
190	2161	9155
191	2171	9140
192	2182	9125
193	2192	9111
194	2203	9095
195	2213	9079
196	2223	9065
197	2234	9050
198	2245	9037
199	2255	9023
200	2266	9010
201	2277	8996
202	2288	8984
203	2299	8972
204	2311	8963
205	2322	8951
206	2333	8939
207	2344	8928
208	2356	8916
209	2366	8904
210	2378	8893
211	2390	8886
212	2402	8877
213	2414	8866
214	2425	8854
215	2436	8844
216	2448	8835
217	2460	8825
218	2470	8811
219	2481	8798
220	2491	8783
221	2502	8771
222	2513	8758
223	2524	8745
224	2534	8731
225	2545	8717
226	2556	8704
227	2567	8694
228	2578	8682
229	2589	8669
230	2600	8656
231	2610	8642
232	2621	8628
233	2631	8615
234	2642	8601
235	2652	8588
236	2663	8573
237	2674	8561
238	2685	8549
239	2696	8538
240	2706	8524
241	2717	8511
242	2727	8497
243	2738	8485
244	2749	8472
245	2759	8458
246	2770	8445
247	2781	8434
248	2792	8421
249	2803	8409
250	2814	8398
251	2826	8389
252	2837	8379
253	2849	8368
254	2860	8357
255	2872	8347
256	2883	8336
257	2895	8327
258	2906	8315
259	2917	8305
260	2929	8293
261	2940	8283
262	2951	8271
263	2963	8260
264	2974	8250
265	2986	8239
266	2997	8228
267	3008	8218
268	3019	8206
269	3030	8194
270	3041	8181
271	3052	8170
272	3064	8160
273	3075	8148
274	3086	8136
275	3097	8125
276	3108	8114
277	3120	8103
278	3131	8091
279	3142	8080
280	3154	8070
281	3165	8059
282	3177	8049
283	3188	8038
284	3199	8027
285	3211	8018
286	3224	8009
287	3235	7997
288	3246	7986
289	3257	7976
290	3269	7964
291	3280	7952
292	3291	7942
293	3302	7931
294	3319	7933
295	3336	7934
296	3350	7931
297	3362	7920
